Districts,Year,Season,Crops,Yield,Soil_Mois,Soil_Temp
Ariyalur,2018,Rabi,Groundnut,4550,19.92,26.27
Ariyalur,2018,Kharif,Groundnut,3190,24,30.18
Ariyalur,2018,Rabi,Maize,7000,19.92,26.27
Ariyalur,2018,Kharif,Maize,5100,24,30.18
Ariyalur,2018,Rabi,Onion,5560,19.92,26.27
Ariyalur,2018,Kharif,Onion,8750,24,30.18
Ariyalur,2018,Rabi,Urad,610,19.92,26.27
Ariyalur,2018,Kharif,Urad,760,24,30.18
Ariyalur,2018,Rabi,Cotton,2600,19.92,26.27
Ariyalur,2018,Kharif,Cotton,2150,25.32,30.18
Ariyalur,2019,Rabi,Groundnut,4520,22.72,27.27
Ariyalur,2019,Kharif,Groundnut,2800,25.32,29.17
Ariyalur,2019,Rabi,Maize,6720,22.72,27.27
Ariyalur,2019,Kharif,Maize,7450,25.32,29.17
Ariyalur,2019,Rabi,Onion,10000,22.72,27.27
Ariyalur,2019,Kharif,Onion,9100,25.32,29.17
Ariyalur,2019,Rabi,Urad,850,22.72,27.27
Ariyalur,2019,Kharif,Urad,850,25.32,29.17
Ariyalur,2019,Rabi,Cotton,2510,22.72,27.27
Ariyalur,2019,Kharif,Cotton,1890,25.12,29.17
Ariyalur,2020,Rabi,Groundnut,3850,22.32,27.32
Ariyalur,2020,Kharif,Groundnut,3250,25.12,28.79
Ariyalur,2020,Rabi,Maize,5280,22.32,27.32
Ariyalur,2020,Kharif,Maize,3310,25.12,28.79
Ariyalur,2020,Rabi,Onion,5500,22.32,27.32
Ariyalur,2020,Kharif,Onion,9820,25.12,28.79
Ariyalur,2020,Rabi,Urad,530,22.32,27.32
Ariyalur,2020,Kharif,Urad,890,25.12,28.79
Ariyalur,2020,Rabi,Cotton,2420,22.32,27.32
Ariyalur,2020,Kharif,Cotton,1560,31.6,28.79
Ariyalur,2021,Rabi,Groundnut,5450,23.4,25.58
Ariyalur,2021,Kharif,Groundnut,3330,31.6,28.7
Ariyalur,2021,Rabi,Maize,6070,23.4,25.58
Ariyalur,2021,Kharif,Maize,5980,31.6,28.7
Ariyalur,2021,Rabi,Onion,6140,23.4,25.58
Ariyalur,2021,Kharif,Onion,9110,31.6,28.7
Ariyalur,2021,Rabi,Urad,630,23.4,25.58
Ariyalur,2021,Kharif,Urad,880,31.6,28.7
Ariyalur,2021,Rabi,Cotton,2380,23.4,25.58
Ariyalur,2021,Kharif,Cotton,1470,26.52,28.7
Ariyalur,2022,Rabi,Groundnut,4680,22.92,26.27
Ariyalur,2022,Kharif,Groundnut,3480,26.52,28.74
Ariyalur,2022,Rabi,Maize,6140,22.92,26.27
Ariyalur,2022,Kharif,Maize,6480,26.52,28.74
Ariyalur,2022,Rabi,Onion,7620,22.92,26.27
Ariyalur,2022,Kharif,Onion,9530,26.52,28.74
Ariyalur,2022,Rabi,Urad,660,22.92,26.27
Ariyalur,2022,Kharif,Urad,860,26.52,28.74
Ariyalur,2022,Rabi,Cotton,1790,22.92,26.27
Ariyalur,2022,Kharif,Cotton,1710,25.32,28.74
Coimbatore,2018,Rabi,Groundnut,3490,31.4,24.53
Coimbatore,2018,Kharif,Groundnut,1980,25.32,23.92
Coimbatore,2018,Rabi,Maize,7000,31.4,24.53
Coimbatore,2018,Kharif,Maize,7600,25.32,23.92
Coimbatore,2018,Rabi,Onion,5680,31.4,24.53
Coimbatore,2018,Kharif,Onion,12820,25.32,23.92
Coimbatore,2018,Rabi,Urad,610,31.4,24.53
Coimbatore,2018,Kharif,Urad,760,25.32,23.92
Coimbatore,2018,Rabi,Cotton,2600,31.4,24.53
Coimbatore,2018,Kharif,Cotton,2170,27.68,23.92
Coimbatore,2019,Rabi,Groundnut,3740,31.2,25.31
Coimbatore,2019,Kharif,Groundnut,2530,27.68,24.09
Coimbatore,2019,Rabi,Maize,6720,31.2,25.31
Coimbatore,2019,Kharif,Maize,8940,27.68,24.09
Coimbatore,2019,Rabi,Onion,7060,31.2,25.31
Coimbatore,2019,Kharif,Onion,18190,27.68,24.09
Coimbatore,2019,Rabi,Urad,780,31.2,25.31
Coimbatore,2019,Kharif,Urad,840,27.68,24.09
Coimbatore,2019,Rabi,Cotton,2490,31.2,25.31
Coimbatore,2019,Kharif,Cotton,2440,26.68,24.09
Coimbatore,2020,Rabi,Groundnut,3230,31.12,24.85
Coimbatore,2020,Kharif,Groundnut,2450,26.68,23.98
Coimbatore,2020,Rabi,Maize,5290,31.12,24.85
Coimbatore,2020,Kharif,Maize,7280,26.68,23.98
Coimbatore,2020,Rabi,Onion,5560,31.12,24.85
Coimbatore,2020,Kharif,Onion,17300,26.68,23.98
Coimbatore,2020,Rabi,Urad,520,31.12,24.85
Coimbatore,2020,Kharif,Urad,880,26.68,23.98
Coimbatore,2020,Rabi,Cotton,2430,31.12,24.85
Coimbatore,2020,Kharif,Cotton,1950,30,23.98
Coimbatore,2021,Rabi,Groundnut,3900,31,23.5
Coimbatore,2021,Kharif,Groundnut,2180,30,24.14
Coimbatore,2021,Rabi,Maize,6070,31,23.5
Coimbatore,2021,Kharif,Maize,8050,30,24.14
Coimbatore,2021,Rabi,Onion,6030,31,23.5
Coimbatore,2021,Kharif,Onion,14440,30,24.14
Coimbatore,2021,Rabi,Urad,630,31,23.5
Coimbatore,2021,Kharif,Urad,890,30,24.14
Coimbatore,2021,Rabi,Cotton,2410,31,23.5
Coimbatore,2021,Kharif,Cotton,1620,27.72,24.14
Coimbatore,2022,Rabi,Groundnut,3490,32.72,24.05
Coimbatore,2022,Kharif,Groundnut,1910,27.72,23.73
Coimbatore,2022,Rabi,Maize,6140,32.72,24.05
Coimbatore,2022,Kharif,Maize,7790,27.72,23.73
Coimbatore,2022,Rabi,Onion,7620,32.72,24.05
Coimbatore,2022,Kharif,Onion,12810,27.72,23.73
Coimbatore,2022,Rabi,Urad,660,32.72,24.05
Coimbatore,2022,Kharif,Urad,860,27.72,23.73
Coimbatore,2022,Rabi,Cotton,1780,32.72,24.05
Coimbatore,2022,Kharif,Cotton,1910,23.8,23.73
Krishnagiri,2018,Rabi,Groundnut,4120,25.2,24.77
Krishnagiri,2018,Kharif,Groundnut,3410,23.8,25.87
Krishnagiri,2018,Rabi,Maize,7000,25.2,24.77
Krishnagiri,2018,Kharif,Maize,7600,23.8,25.87
Krishnagiri,2018,Rabi,Onion,5710,25.2,24.77
Krishnagiri,2018,Kharif,Onion,8780,23.8,25.87
Krishnagiri,2018,Rabi,Urad,610,25.2,24.77
Krishnagiri,2018,Kharif,Urad,760,23.8,25.87
Krishnagiri,2018,Rabi,Cotton,2600,25.2,24.77
Krishnagiri,2018,Kharif,Cotton,2450,26,25.87
