State,District,Year,Crop,Season,Yield,Soil_Mois,Soil_Temp
Karnataka,Bagalkot,2015,Arhar_Tur,Kharif,0.28,67,23.57
Karnataka,Bagalkot,2015,Arhar_Tur,Rabi,0.18,63,25.93
Karnataka,Bagalkot,2015,Bajra,Kharif,0.55,65,25.03
Karnataka,Bagalkot,2015,Bajra,Rabi,0.11,66,24.04
Karnataka,Bagalkot,2015,Castor_Seed,Kharif,0.11,65,23.57
Karnataka,Bagalkot,2015,Castor_Seed,Rabi,2.54,73,24.58
Karnataka,Bagalkot,2015,Cotton,Kharif,3.96,66,23.57
Karnataka,Bagalkot,2015,Cotton,Rabi,1.2,74,23.13
Karnataka,Bagalkot,2015,Cowpea,Kharif,0.42,65,25.82
Karnataka,Bagalkot,2015,Cowpea,Rabi,0.44,63,25.93
Karnataka,Bagalkot,2015,Dry_Chillies,Kharif,1.89,66,23.57
Karnataka,Bagalkot,2015,Dry_Chillies,Rabi,2.46,66,24.04
Karnataka,Bagalkot,2015,Groundnut,Kharif,0.92,70,25.82
Karnataka,Bagalkot,2015,Groundnut,Rabi,0.54,73,24.58
Karnataka,Bagalkot,2015,Horse_Gram,Kharif,0.15,70,25.82
Karnataka,Bagalkot,2015,Horse_Gram,Rabi,0.3,74,23.13
Karnataka,Bagalkot,2015,Jowar,Kharif,1.17,66,25.03
Karnataka,Bagalkot,2015,Jowar,Rabi,0.85,63,25.93
Karnataka,Bagalkot,2015,Maize,Kharif,3.7,65,25.82
Karnataka,Bagalkot,2015,Maize,Rabi,3.26,66,24.04
Karnataka,Bagalkot,2015,Moong_Green_Gram,Kharif,0.05,66,23.57
Karnataka,Bagalkot,2015,Moong_Green_Gram,Rabi,3.52,73,24.58
Karnataka,Bagalkot,2015,Onion,Kharif,6.99,70,25.82
Karnataka,Bagalkot,2015,Onion,Rabi,8.59,74,23.13
Karnataka,Bagalkot,2015,Potato,Kharif,8.59,67,25.03
Karnataka,Bagalkot,2015,Potato,Rabi,0.96,63,25.93
Karnataka,Bagalkot,2015,Ragi,Kharif,1.07,70,25.03
Karnataka,Bagalkot,2015,Ragi,Rabi,2.72,66,24.04
Karnataka,Bagalkot,2015,Rice,Kharif,2.72,65,25.82
Karnataka,Bagalkot,2015,Rice,Rabi,1.47,73,24.58
Karnataka,Bagalkot,2015,Sesamum,Kharif,0.21,70,24.15
Karnataka,Bagalkot,2015,Sesamum,Rabi,1.23,74,23.13
Karnataka,Bagalkot,2015,Soyabean,Kharif,1.09,67,25.03
Karnataka,Bagalkot,2015,Soyabean,Rabi,1.42,63,25.93
Karnataka,Bagalkot,2015,Sunflower,Kharif,0.54,67,24.15
Karnataka,Bagalkot,2015,Sunflower,Rabi,0.48,66,24.04
Karnataka,Bagalkot,2015,Urad,Kharif,0.25,70,25.82
Karnataka,Bagalkot,2015,Urad,Rabi,0.52,73,24.58
Karnataka,Bagalkot,2016,Arhar_Tur,Kharif,0.78,70,23.57
Karnataka,Bagalkot,2016,Arhar_Tur,Rabi,0.26,74,23.13
Karnataka,Bagalkot,2016,Bajra,Kharif,1.12,66,25.03
Karnataka,Bagalkot,2016,Bajra,Rabi,0.18,63,25.93
Karnataka,Bagalkot,2016,Castor_Seed,Kharif,0.71,66,23.57
Karnataka,Bagalkot,2016,Castor_Seed,Rabi,2.08,66,24.04
Karnataka,Bagalkot,2016,Cotton,Kharif,2.1,65,25.82
Karnataka,Bagalkot,2016,Cotton,Rabi,0.32,73,24.58
Karnataka,Bagalkot,2016,Cowpea,Kharif,0.76,66,23.57
Karnataka,Bagalkot,2016,Cowpea,Rabi,0.02,74,23.13
Karnataka,Bagalkot,2016,Dry_Chillies,Kharif,1.64,66,25.03
Karnataka,Bagalkot,2016,Dry_Chillies,Rabi,2.21,63,25.93
Karnataka,Bagalkot,2016,Groundnut,Kharif,0.83,65,23.57
Karnataka,Bagalkot,2016,Groundnut,Rabi,2.16,66,24.04
Karnataka,Bagalkot,2016,Horse_Gram,Kharif,0.13,65,25.03
Karnataka,Bagalkot,2016,Horse_Gram,Rabi,0.07,73,24.58
Karnataka,Bagalkot,2016,Jowar,Kharif,1.72,65,25.03
Karnataka,Bagalkot,2016,Jowar,Rabi,0.48,74,23.13
Karnataka,Bagalkot,2016,Maize,Kharif,3.89,70,25.82
Karnataka,Bagalkot,2016,Maize,Rabi,3.96,63,25.93
Karnataka,Bagalkot,2016,Moong_Green_Gram,Kharif,0.22,70,25.03
Karnataka,Bagalkot,2016,Moong_Green_Gram,Rabi,0.26,66,24.04
Karnataka,Bagalkot,2016,Onion,Kharif,11.82,65,25.03
Karnataka,Bagalkot,2016,Onion,Rabi,17.22,73,24.58
Karnataka,Bagalkot,2016,Potato,Kharif,7.16,66,25.03
Karnataka,Bagalkot,2016,Potato,Rabi,15.87,74,23.13
Karnataka,Bagalkot,2016,Ragi,Kharif,1.45,66,25.03
Karnataka,Bagalkot,2016,Ragi,Rabi,1.42,63,25.93
Karnataka,Bagalkot,2016,Rice,Kharif,2.76,66,24.15
Karnataka,Bagalkot,2016,Rice,Rabi,2.57,66,24.04
Karnataka,Bagalkot,2016,Sesamum,Kharif,0.44,67,23.57
Karnataka,Bagalkot,2016,Sesamum,Rabi,1.14,73,24.58
Karnataka,Bagalkot,2016,Soyabean,Kharif,1,70,25.82
Karnataka,Bagalkot,2016,Soyabean,Rabi,1.22,74,23.13
Karnataka,Bagalkot,2016,Sunflower,Kharif,0.53,70,25.03
Karnataka,Bagalkot,2016,Sunflower,Rabi,0.35,63,25.93
Karnataka,Bagalkot,2016,Urad,Kharif,0.26,65,23.57
Karnataka,Bagalkot,2016,Urad,Rabi,0.5,66,24.04
Karnataka,Bagalkot,2017,Arhar_Tur,Kharif,0.69,67,25.82
Karnataka,Bagalkot,2017,Arhar_Tur,Rabi,0.11,73,24.58
Karnataka,Bagalkot,2017,Bajra,Kharif,1.56,65,24.15
Karnataka,Bagalkot,2017,Bajra,Rabi,0.14,74,23.13
Karnataka,Bagalkot,2017,Castor_Seed,Kharif,0.71,66,25.82
Karnataka,Bagalkot,2017,Castor_Seed,Rabi,2.51,63,25.93
Karnataka,Bagalkot,2017,Cotton,Kharif,3.5,67,24.15
Karnataka,Bagalkot,2017,Cotton,Rabi,0.76,66,24.04
Karnataka,Bagalkot,2017,Cowpea,Kharif,0.23,65,23.57
Karnataka,Bagalkot,2017,Cowpea,Rabi,0.41,73,24.58
Karnataka,Bagalkot,2017,Dry_Chillies,Kharif,0.85,70,24.15
Karnataka,Bagalkot,2017,Dry_Chillies,Rabi,2.57,74,23.13
Karnataka,Bagalkot,2017,Groundnut,Kharif,0.79,66,25.03
Karnataka,Bagalkot,2017,Groundnut,Rabi,2.16,63,25.93
Karnataka,Bagalkot,2017,Horse_Gram,Kharif,0.93,65,25.03
Karnataka,Bagalkot,2017,Horse_Gram,Rabi,0.35,66,24.04
Karnataka,Bagalkot,2017,Jowar,Kharif,3.05,67,25.82
Karnataka,Bagalkot,2017,Jowar,Rabi,1.16,73,24.58
Karnataka,Bagalkot,2017,Maize,Kharif,4.57,65,24.15
Karnataka,Bagalkot,2017,Maize,Rabi,4.19,74,23.13
Karnataka,Bagalkot,2017,Moong_Green_Gram,Kharif,0.13,70,25.03
Karnataka,Bagalkot,2017,Moong_Green_Gram,Rabi,0.26,63,25.93
Karnataka,Bagalkot,2017,Onion,Kharif,15.49,67,23.57
Karnataka,Bagalkot,2017,Onion,Rabi,17.13,66,24.04
Karnataka,Bagalkot,2017,Potato,Kharif,7.16,66,25.03
Karnataka,Bagalkot,2017,Potato,Rabi,15.87,73,24.58
Karnataka,Bagalkot,2017,Ragi,Kharif,1.45,65,23.57
Karnataka,Bagalkot,2017,Ragi,Rabi,1.42,74,23.13
Karnataka,Bagalkot,2017,Rice,Kharif,2.76,67,25.03
Karnataka,Bagalkot,2017,Rice,Rabi,2.57,63,25.93
Karnataka,Bagalkot,2017,Sesamum,Kharif,1.01,65,24.15
Karnataka,Bagalkot,2017,Sesamum,Rabi,1.69,66,24.04
Karnataka,Bagalkot,2017,Soyabean,Kharif,1.17,65,25.03
Karnataka,Bagalkot,2017,Soyabean,Rabi,1.61,73,24.58
Karnataka,Bagalkot,2017,Sunflower,Kharif,1.08,70,25.03
Karnataka,Bagalkot,2017,Sunflower,Rabi,0.83,74,23.13
Karnataka,Bagalkot,2017,Urad,Kharif,0.09,70,23.57
Karnataka,Bagalkot,2017,Urad,Rabi,0.5,63,25.93
Karnataka,Bagalkot,2018,Arhar_Tur,Kharif,0.45,66,25.82
Karnataka,Bagalkot,2018,Arhar_Tur,Rabi,0.27,66,24.04
Karnataka,Bagalkot,2018,Bajra,Kharif,1.53,66,24.15
Karnataka,Bagalkot,2018,Bajra,Rabi,0.19,73,24.58
Karnataka,Bagalkot,2018,Castor_Seed,Kharif,0.5,66,23.57
Karnataka,Bagalkot,2018,Castor_Seed,Rabi,1.88,74,23.13
Karnataka,Bagalkot,2018,Cotton,Kharif,1.96,67,25.82
Karnataka,Bagalkot,2018,Cotton,Rabi,0.77,63,25.93
Karnataka,Bagalkot,2018,Cowpea,Kharif,0.4,67,25.82
Karnataka,Bagalkot,2018,Cowpea,Rabi,0.28,66,24.04
Karnataka,Bagalkot,2018,Dry_Chillies,Kharif,0.83,65,25.03
Karnataka,Bagalkot,2018,Dry_Chillies,Rabi,2.1,73,24.58
Karnataka,Bagalkot,2018,Groundnut,Kharif,0.94,66,25.82
Karnataka,Bagalkot,2018,Groundnut,Rabi,2.16,74,23.13
Karnataka,Bagalkot,2018,Horse_Gram,Kharif,0.69,70,25.82
Karnataka,Bagalkot,2018,Horse_Gram,Rabi,0.21,63,25.93
Karnataka,Bagalkot,2018,Jowar,Kharif,2.43,70,25.03
Karnataka,Bagalkot,2018,Jowar,Rabi,0.69,66,24.04
Karnataka,Bagalkot,2018,Maize,Kharif,4.17,67,25.03
Karnataka,Bagalkot,2018,Maize,Rabi,3.62,73,24.58
Karnataka,Bagalkot,2018,Moong_Green_Gram,Kharif,0.21,67,25.82
Karnataka,Bagalkot,2018,Moong_Green_Gram,Rabi,0.26,74,23.13
Karnataka,Bagalkot,2018,Onion,Kharif,12.25,70,23.57
Karnataka,Bagalkot,2018,Onion,Rabi,16.38,63,25.93
Karnataka,Bagalkot,2018,Potato,Kharif,8,66,25.82
Karnataka,Bagalkot,2018,Potato,Rabi,15.87,66,24.04
Karnataka,Bagalkot,2018,Ragi,Kharif,1.21,67,23.57
Karnataka,Bagalkot,2018,Ragi,Rabi,1.42,73,24.58
Karnataka,Bagalkot,2018,Rice,Kharif,2.85,67,25.82
Karnataka,Bagalkot,2018,Rice,Rabi,2.57,74,23.13
Karnataka,Bagalkot,2018,Sesamum,Kharif,0.67,66,23.57
Karnataka,Bagalkot,2018,Sesamum,Rabi,1.47,63,25.93
Karnataka,Bagalkot,2018,Soyabean,Kharif,1.23,67,24.15
Karnataka,Bagalkot,2018,Soyabean,Rabi,1.54,66,24.04
Karnataka,Bagalkot,2018,Sunflower,Kharif,1,70,25.82
Karnataka,Bagalkot,2018,Sunflower,Rabi,0.63,73,24.58
Karnataka,Bagalkot,2018,Urad,Kharif,0.51,65,25.03
Karnataka,Bagalkot,2018,Urad,Rabi,0.5,74,23.13
Karnataka,Bagalkot,2019,Arhar_Tur,Kharif,0.59,65,25.82
Karnataka,Bagalkot,2019,Arhar_Tur,Rabi,0.11,63,25.93
Karnataka,Bagalkot,2019,Bajra,Kharif,1.66,66,23.57
Karnataka,Bagalkot,2019,Bajra,Rabi,0.14,66,24.04
Karnataka,Bagalkot,2019,Castor_Seed,Kharif,0.89,66,24.15
Karnataka,Bagalkot,2019,Castor_Seed,Rabi,2.59,73,24.58
Karnataka,Bagalkot,2019,Cotton,Kharif,2.89,70,24.15
Karnataka,Bagalkot,2019,Cotton,Rabi,0.72,74,23.13
Karnataka,Bagalkot,2019,Cowpea,Kharif,0.28,70,25.82
Karnataka,Bagalkot,2019,Cowpea,Rabi,0.49,63,25.93
Karnataka,Bagalkot,2019,Dry_Chillies,Kharif,1.1,66,24.15
Karnataka,Bagalkot,2019,Dry_Chillies,Rabi,2.1,66,24.04
Karnataka,Bagalkot,2019,Groundnut,Kharif,1.04,70,25.03
Karnataka,Bagalkot,2019,Groundnut,Rabi,2.16,73,24.58
Karnataka,Bagalkot,2019,Horse_Gram,Kharif,0.99,66,25.82
Karnataka,Bagalkot,2019,Horse_Gram,Rabi,0.39,74,23.13
Karnataka,Bagalkot,2019,Jowar,Kharif,2.55,67,24.15
Karnataka,Bagalkot,2019,Jowar,Rabi,1.33,63,25.93
Karnataka,Bagalkot,2019,Maize,Kharif,3.73,65,25.82
Karnataka,Bagalkot,2019,Maize,Rabi,4.02,66,24.04
Karnataka,Bagalkot,2019,Moong_Green_Gram,Kharif,0.18,70,24.15
Karnataka,Bagalkot,2019,Moong_Green_Gram,Rabi,0.25,73,24.58
Karnataka,Bagalkot,2019,Onion,Kharif,10.01,66,23.57
Karnataka,Bagalkot,2019,Onion,Rabi,21.99,74,23.13
Karnataka,Bagalkot,2019,Potato,Kharif,7,70,23.57
Karnataka,Bagalkot,2019,Potato,Rabi,15.5,63,25.93
Karnataka,Bagalkot,2019,Ragi,Kharif,1.74,66,23.57
Karnataka,Bagalkot,2019,Ragi,Rabi,1.42,66,24.04
Karnataka,Bagalkot,2019,Rice,Kharif,3.21,65,23.57
Karnataka,Bagalkot,2019,Rice,Rabi,2.57,73,24.58
Karnataka,Bagalkot,2019,Sesamum,Kharif,0.6,67,23.57
Karnataka,Bagalkot,2019,Sesamum,Rabi,1.27,74,23.13
Karnataka,Bagalkot,2019,Soyabean,Kharif,0.72,70,25.03
Karnataka,Bagalkot,2019,Soyabean,Rabi,1.21,63,25.93
Karnataka,Bagalkot,2019,Sunflower,Kharif,0.81,65,25.82
Karnataka,Bagalkot,2019,Sunflower,Rabi,0.72,66,24.04
Karnataka,Bagalkot,2019,Urad,Kharif,0.45,67,23.57
Karnataka,Bagalkot,2019,Urad,Rabi,0.47,73,24.58
Karnataka,Bagalkot,2020,Arhar_Tur,Kharif,0.88,67,25.82
Karnataka,Bagalkot,2020,Arhar_Tur,Rabi,0.16,74,23.13
Karnataka,Bagalkot,2020,Bajra,Kharif,1.91,67,25.03
Karnataka,Bagalkot,2020,Bajra,Rabi,0.13,63,25.93
Karnataka,Bagalkot,2020,Castor_Seed,Kharif,0.9,65,25.03
Karnataka,Bagalkot,2020,Castor_Seed,Rabi,2.43,66,24.04
Karnataka,Bagalkot,2020,Cotton,Kharif,2.88,67,23.57
Karnataka,Bagalkot,2020,Cotton,Rabi,0.6,73,24.58
Karnataka,Bagalkot,2020,Cowpea,Kharif,0.33,67,25.03
Karnataka,Bagalkot,2020,Cowpea,Rabi,0.7,74,23.13
Karnataka,Bagalkot,2020,Dry_Chillies,Kharif,0.9,65,25.82
Karnataka,Bagalkot,2020,Dry_Chillies,Rabi,2.1,63,25.93
Karnataka,Bagalkot,2020,Groundnut,Kharif,1.08,67,25.82
Karnataka,Bagalkot,2020,Groundnut,Rabi,2.16,66,24.04
Karnataka,Bagalkot,2020,Horse_Gram,Kharif,0.7,66,25.03
Karnataka,Bagalkot,2020,Horse_Gram,Rabi,0.49,73,24.58
Karnataka,Bagalkot,2020,Jowar,Kharif,3.09,66,24.15
Karnataka,Bagalkot,2020,Jowar,Rabi,1.4,74,23.13
Karnataka,Bagalkot,2020,Maize,Kharif,4.5,66,25.82
Karnataka,Bagalkot,2020,Maize,Rabi,3.88,63,25.93
